date,open,high,low,close,adjusted_close,volume
2024-02-14,4.35,4.35,4.09,4.23,,29274900
2024-02-15,4.18,4.29,3.94,4.02,,41025100
2024-02-16,3.85,4.01,3.75,3.96,,31092700
2024-02-20,3.85,3.89,3.7,3.73,,21864900
2024-02-21,3.73,3.74,3.34,3.41,,44055300
2024-02-22,3.53,3.53,3.11,3.13,,46865400
2024-02-23,3.25,3.27,2.98,3.01,,54728200
2024-02-26,2.92,3.08,2.83,3.04,,33356200
2024-02-27,3.17,3.63,3.15,3.55,,54093100
2024-02-28,3.47,3.63,3.37,3.43,,37218100
2024-02-29,3.59,3.9,3.46,3.53,,57494500
2024-03-01,3.19,3.89,3.16,3.89,,77620600
2024-03-04,3.89,4.02,3.68,3.86,,38826100
2024-03-05,3.72,3.8,3.6,3.63,,28307700
2024-03-06,3.71,4.1,3.63,4.02,,48461400
2024-03-07,4.02,4.16,3.81,3.9,,32044500
2024-03-08,4.05,4.33,4,4.02,,37671200
2024-03-11,4.01,4.1,3.61,3.66,,36361400
2024-03-12,3.71,3.71,3.48,3.54,,27482500
2024-03-13,3.45,3.53,3.33,3.36,,35096200
2024-03-14,3.46,3.46,3.25,3.34,,34609600
2024-03-15,3.36,3.47,3.26,3.33,,25329400
2024-03-18,3.36,3.36,3.16,3.25,,26070400
2024-03-19,3.19,3.27,3.05,3.25,,27895200
2024-03-20,3.27,3.6,3.12,3.52,,37880400
2024-03-21,3.52,3.71,3.47,3.59,,26185700
2024-03-22,3.57,3.57,3.37,3.41,,18893700
2024-03-25,3.41,3.54,3.31,3.33,,19888600
2024-03-26,3.39,3.41,3.22,3.22,,22460200
2024-03-27,3.25,3.53,3.2,3.43,,36398400
2024-03-28,3.43,3.51,3.35,3.44,,22255700
2024-04-01,3.49,3.5,3.29,3.44,,18261500
2024-04-02,3.35,3.35,3.12,3.14,,31010100
2024-04-03,3.16,3.24,3.05,3.23,,27406000
2024-04-04,3.29,3.4,3.14,3.15,,24158200
2024-04-05,3,3.19,2.99,3.14,,30373400
2024-04-08,3.1,3.22,3.04,3.12,,20567600
2024-04-09,3.14,3.32,3.13,3.25,,27452100
2024-04-10,3.09,3.16,3.03,3.07,,24288700
2024-04-11,3.08,3.15,2.9,2.96,,28043400
2024-04-12,2.9,2.98,2.86,2.89,,16309000
2024-04-15,2.89,2.95,2.8,2.85,,21785600
2024-04-16,2.8,2.8,2.68,2.7,,24094600
2024-04-17,2.72,2.82,2.66,2.73,,22236000
2024-04-18,2.74,2.79,2.62,2.71,,25401100
2024-04-19,2.65,2.73,2.54,2.57,,32144300
2024-04-22,2.58,2.6,2.45,2.49,,23375400
2024-04-23,2.59,2.74,2.53,2.59,,33586200
2024-04-24,2.66,2.68,2.39,2.41,,37880700
2024-04-25,2.36,2.4,2.25,2.38,,26600800
2024-04-26,2.41,2.44,2.38,2.41,,16642200
2024-04-29,2.51,2.61,2.38,2.4,,28091600
2024-04-30,2.36,2.37,2.28,2.31,,30011600
2024-05-01,2.31,2.54,2.28,2.3,,43081500
2024-05-02,2.41,2.52,2.3,2.45,,35923800
2024-05-03,2.56,2.78,2.56,2.74,,44789000
2024-05-06,2.8,2.9,2.67,2.71,,29224500
2024-05-07,2.69,2.77,2.6,2.64,,26786700
2024-05-08,2.58,2.61,2.46,2.52,,35751600
2024-05-09,2.4,2.81,2.36,2.77,,63754800
2024-05-10,2.72,2.83,2.49,2.56,,32918300
2024-05-13,2.62,2.96,2.58,2.89,,51034700
2024-05-14,4.89,4.9,3.42,3.44,,203418400
2024-05-15,3.73,3.75,3.18,3.41,,77000400
2024-05-16,3.37,3.49,3.24,3.43,,32646600
2024-05-17,3.32,3.38,3.2,3.25,,34984200
2024-05-20,3.23,3.26,3.08,3.2,,24409800
2024-05-21,3.11,3.14,3.06,3.08,,20932100
2024-05-22,3.09,3.44,3.04,3.41,,61507500
2024-05-23,3.4,3.4,3.06,3.08,,28361500
2024-05-24,3.13,3.31,3.08,3.25,,18459600
2024-05-28,3.41,3.48,3.23,3.25,,31152100
2024-05-29,3.17,3.27,3.11,3.2,,24803700
2024-05-30,3.26,3.32,3.12,3.3,,30826200
2024-05-31,3.31,3.38,3.2,3.33,,35202900
2024-06-03,3.47,3.55,3.41,3.45,,33604600
2024-06-04,3.36,3.37,3.21,3.22,,26367800
2024-06-05,3.26,3.27,2.91,3.01,,59261400
2024-06-06,2.95,3.06,2.91,3,,24909900
2024-06-07,2.92,3.09,2.86,2.9,,33149900
2024-06-10,2.86,3.04,2.85,2.97,,22212200
2024-06-11,2.95,2.99,2.85,2.92,,18539600
2024-06-12,3.05,3.17,2.88,2.92,,35234100
2024-06-13,2.96,2.96,2.78,2.84,,22114000
2024-06-14,2.82,2.84,2.69,2.7,,20849500
2024-06-17,2.71,2.75,2.63,2.72,,18786300
2024-06-18,2.71,2.72,2.62,2.64,,22252500
2024-06-20,2.65,2.66,2.52,2.54,,24709400
2024-06-21,2.55,2.56,2.4,2.41,,44582100
2024-06-24,2.43,2.47,2.33,2.45,,25994900
2024-06-25,2.5,2.53,2.35,2.36,,33964900
2024-06-26,2.37,2.46,2.35,2.45,,21131900
2024-06-27,2.48,2.51,2.41,2.46,,27291500
2024-06-28,2.59,2.63,2.31,2.33,,121643400
2024-07-01,2.35,2.4,2.26,2.28,,30377100
2024-07-02,2.31,2.35,2.21,2.27,,29355800
2024-07-03,2.3,2.53,2.29,2.47,,41364700
2024-07-05,2.47,2.62,2.43,2.59,,29380900
2024-07-08,2.63,2.71,2.55,2.64,,25754700
2024-07-09,2.65,2.67,2.51,2.57,,24241700
2024-07-10,2.6,2.72,2.55,2.69,,30404600
2024-07-11,2.8,2.95,2.76,2.93,,43274000
2024-07-12,3.05,3.14,2.97,3.07,,46309400
2024-07-15,2.98,3.23,2.83,3.21,,60545200
2024-07-16,3.21,3.34,3.08,3.34,,50762000
2024-07-17,3.2,3.34,3,3.06,,42473500
2024-07-18,3.1,3.23,2.91,2.92,,36925100
2024-07-19,2.47,2.58,2.41,2.52,,88107900
2024-07-22,2.6,2.61,2.43,2.5,,35865000
2024-07-23,2.49,2.53,2.45,2.49,,33077300
2024-07-24,2.48,2.57,2.41,2.43,,39119000
2024-07-25,2.41,2.47,2.31,2.33,,41937800
2024-07-26,2.38,2.53,2.37,2.49,,45257500
2024-07-29,2.51,2.51,2.32,2.4,,42070700
2024-07-30,2.36,2.47,2.27,2.4,,50536500
2024-07-31,2.41,2.56,2.38,2.47,,44792500
2024-08-01,2.47,2.53,2.3,2.32,,39021800
2024-08-02,2.27,2.27,2.14,2.16,,47455100
2024-08-05,1.97,2.25,1.95,2.21,,45748800
2024-08-06,2.25,2.25,2.1,2.15,,37584900
2024-08-07,2.18,2.29,2.08,2.08,,45314900
2024-08-08,1.98,2.13,1.93,2.08,,55773900
2024-08-09,2.06,2.07,1.95,1.97,,37094800
2024-08-12,2,2.01,1.91,1.95,,21639700
2024-08-13,1.98,2.19,1.95,2.14,,43069800
2024-08-14,2.15,2.19,2,2.02,,35029800
2024-08-15,2.07,2.15,2.03,2.12,,35892400
